OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
5139,5139,8,250468.8457,743103.3401,-98
5140,5140,8,250481.3457,743103.3401,-101
5141,5141,7,250493.8457,743103.3401,-106
5159,5159,7,250718.8457,743103.3401,-130
5160,5160,7,250731.3457,743103.3401,-131
5161,5161,7,250743.8457,743103.3401,-132
5162,5162,7,250756.3457,743103.3401,-132
5163,5163,7,250768.8457,743103.3401,-133
5164,5164,7,250781.3457,743103.3401,-134
5165,5165,7,250793.8457,743103.3401,-135
5166,5166,7,250806.3457,743103.3401,-136
5167,5167,7,250818.8457,743103.3401,-137
5168,5168,7,250831.3457,743103.3401,-138
5170,5170,7,250856.3457,743103.3401,-142
5207,5207,8,250381.3457,743090.8401,-75
5208,5208,8,250393.8457,743090.8401,-79
5209,5209,8,250406.3457,743090.8401,-84
5210,5210,8,250418.8457,743090.8401,-89
5211,5211,8,250431.3457,743090.8401,-92
5212,5212,8,250443.8457,743090.8401,-94
5213,5213,8,250456.3457,743090.8401,-96
5214,5214,8,250468.8457,743090.8401,-98
5215,5215,8,250481.3457,743090.8401,-100
5216,5216,8,250493.8457,743090.8401,-105
5229,5229,8,250656.3457,743090.8401,-122
5230,5230,8,250668.8457,743090.8401,-123
5231,5231,8,250681.3457,743090.8401,-124
5232,5232,8,250693.8457,743090.8401,-125
5233,5233,8,250706.3457,743090.8401,-126
5234,5234,8,250718.8457,743090.8401,-128
5235,5235,8,250731.3457,743090.8401,-129
5237,5237,8,250756.3457,743090.8401,-130
5238,5238,8,250768.8457,743090.8401,-131
5239,5239,8,250781.3457,743090.8401,-133
5240,5240,8,250793.8457,743090.8401,-134
5241,5241,8,250806.3457,743090.8401,-135
5242,5242,8,250818.8457,743090.8401,-136
5244,5244,7,250843.8457,743090.8401,-139
5282,5282,8,250381.3457,743078.3401,-75
5283,5283,8,250393.8457,743078.3401,-80
5284,5284,8,250406.3457,743078.3401,-85
5287,5287,7,250443.8457,743078.3401,-94
5289,5289,8,250468.8457,743078.3401,-97
5290,5290,8,250481.3457,743078.3401,-100
5291,5291,8,250493.8457,743078.3401,-105
5300,5300,7,250606.3457,743078.3401,-118
5301,5301,8,250618.8457,743078.3401,-118
5302,5302,8,250631.3457,743078.3401,-119
5303,5303,8,250643.8457,743078.3401,-119
5304,5304,8,250656.3457,743078.3401,-119
5305,5305,8,250668.8457,743078.3401,-120
5306,5306,8,250681.3457,743078.3401,-122
5307,5307,8,250693.8457,743078.3401,-123
5308,5308,8,250706.3457,743078.3401,-124
5309,5309,8,250718.8457,743078.3401,-125
5310,5310,8,250731.3457,743078.3401,-126
5311,5311,8,250743.8457,743078.3401,-127
5312,5312,8,250756.3457,743078.3401,-128
5313,5313,8,250768.8457,743078.3401,-130
5314,5314,8,250781.3457,743078.3401,-132
5315,5315,8,250793.8457,743078.3401,-133
5316,5316,8,250806.3457,743078.3401,-134
5318,5318,7,250831.3457,743078.3401,-137
5319,5319,7,250843.8457,743078.3401,-139
5327,5327,7,250943.8457,743078.3401,-153
5358,5358,8,250393.8457,743065.8401,-81
5359,5359,8,250406.3457,743065.8401,-86
5360,5360,8,250418.8457,743065.8401,-90
5364,5364,7,250468.8457,743065.8401,-98
5365,5365,8,250481.3457,743065.8401,-101
5366,5366,7,250493.8457,743065.8401,-105
5374,5374,8,250593.8457,743065.8401,-115
5375,5375,8,250606.3457,743065.8401,-115
5376,5376,8,250618.8457,743065.8401,-115
5377,5377,8,250631.3457,743065.8401,-116
5378,5378,8,250643.8457,743065.8401,-116
5379,5379,8,250656.3457,743065.8401,-117
5380,5380,8,250668.8457,743065.8401,-118
5381,5381,8,250681.3457,743065.8401,-120
5382,5382,8,250693.8457,743065.8401,-121
5383,5383,8,250706.3457,743065.8401,-122
5384,5384,8,250718.8457,743065.8401,-123
5385,5385,8,250731.3457,743065.8401,-124
5386,5386,8,250743.8457,743065.8401,-125
5387,5387,8,250756.3457,743065.8401,-127
5388,5388,8,250768.8457,743065.8401,-129
5389,5389,8,250781.3457,743065.8401,-131
5390,5390,8,250793.8457,743065.8401,-132
5391,5391,8,250806.3457,743065.8401,-133
5392,5392,8,250818.8457,743065.8401,-135
5395,5395,7,250856.3457,743065.8401,-142
5433,5433,8,250393.8457,743053.3401,-81
5434,5434,8,250406.3457,743053.3401,-86
5435,5435,8,250418.8457,743053.3401,-90
5436,5436,7,250431.3457,743053.3401,-92
5440,5440,8,250481.3457,743053.3401,-102
5441,5441,7,250493.8457,743053.3401,-106
5449,5449,8,250593.8457,743053.3401,-112
5450,5450,8,250606.3457,743053.3401,-112
5451,5451,8,250618.8457,743053.3401,-113
5453,5453,8,250643.8457,743053.3401,-114
5454,5454,8,250656.3457,743053.3401,-115
5455,5455,8,250668.8457,743053.3401,-116
5456,5456,8,250681.3457,743053.3401,-118
5457,5457,8,250693.8457,743053.3401,-120
5458,5458,8,250706.3457,743053.3401,-121
5459,5459,8,250718.8457,743053.3401,-122
5460,5460,8,250731.3457,743053.3401,-123
5461,5461,8,250743.8457,743053.3401,-124
5462,5462,8,250756.3457,743053.3401,-125
5463,5463,8,250768.8457,743053.3401,-127
5464,5464,8,250781.3457,743053.3401,-130
5476,5476,7,250931.3457,743053.3401,-150
5477,5477,7,250943.8457,743053.3401,-151
5508,5508,8,250393.8457,743040.8401,-82
5509,5509,8,250406.3457,743040.8401,-86
