OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
136,136,16,223163.126220703125000,632592.520507812500000,774.000000000000000
137,137,16,223175.545410156250000,632592.520507812500000,776.000000000000000
138,138,16,223187.964599609375000,632592.520507812500000,777.000000000000000
139,139,16,223200.383911132812500,632592.520507812500000,778.000000000000000
140,140,16,223212.803100585937500,632592.520507812500000,779.000000000000000
141,141,16,223225.222290039062500,632592.520507812500000,781.221699999994598
142,142,16,223237.641479492187500,632592.520507812500000,783.000000000000000
143,143,16,223250.060668945312500,632592.520507812500000,785.000000000000000
144,144,15,223262.479980468750000,632592.520507812500000,786.000000000000000
145,145,15,223274.899169921875000,632592.520507812500000,788.000000000000000
146,146,15,223287.318359375000000,632592.520507812500000,789.000000000000000
147,147,16,223299.737548828125000,632592.520507812500000,791.000000000000000
148,148,16,223312.156738281250000,632592.520507812500000,792.000000000000000
149,149,16,223324.575927734375000,632592.520507812500000,794.000000000000000
150,150,16,223336.995239257812500,632592.520507812500000,796.000000000000000
151,151,16,223349.414428710937500,632592.520507812500000,799.000000000000000
152,152,16,223361.833618164062500,632592.520507812500000,801.000000000000000
153,153,16,223374.252929687500000,632592.520507812500000,803.000000000000000
154,154,16,223386.672119140625000,632592.520507812500000,805.000000000000000
155,155,17,223399.091430664062500,632592.520507812500000,807.000000000000000
156,156,17,223411.510620117187500,632592.520507812500000,809.000000000000000
157,157,3,222778.130371093750000,632580.043334960937500,733.000000000000000
158,158,3,222790.549560546875000,632580.043334960937500,734.000000000000000
159,159,5,222802.968872070312500,632580.043334960937500,735.000000000000000
160,160,4,222815.388061523437500,632580.043334960937500,737.000000000000000
161,161,4,222827.807250976562500,632580.043334960937500,738.000000000000000
162,162,4,222840.226440429687500,632580.043334960937500,740.000000000000000
163,163,4,222852.645629882812500,632580.043334960937500,741.000000000000000
164,164,4,222865.064941406250000,632580.043334960937500,742.000000000000000
165,165,4,222877.484130859375000,632580.043334960937500,744.000000000000000
166,166,8,222889.903320312500000,632580.043334960937500,746.000000000000000
167,167,13,222902.322509765625000,632580.043334960937500,748.000000000000000
168,168,15,222914.741699218750000,632580.043334960937500,750.000000000000000
169,169,17,222927.161010742187500,632580.043334960937500,752.000000000000000
170,170,20,222939.580200195312500,632580.043334960937500,753.000000000000000
171,171,19,222951.999511718750000,632580.043334960937500,753.000000000000000
172,172,20,222964.418701171875000,632580.043334960937500,753.000000000000000
173,173,20,222976.837890625000000,632580.043334960937500,754.000000000000000
174,174,19,222989.257080078125000,632580.043334960937500,756.000000000000000
175,175,18,223001.676391601562500,632580.043334960937500,757.000000000000000
176,176,14,223014.095581054687500,632580.043334960937500,757.000000000000000
177,177,12,223026.514770507812500,632580.043334960937500,757.000000000000000
178,178,15,223038.933959960937500,632580.043334960937500,760.000000000000000
179,179,14,223051.353149414062500,632580.043334960937500,762.000000000000000
180,180,15,223063.772460937500000,632580.043334960937500,764.000000000000000
181,181,17,223076.191650390625000,632580.043334960937500,766.000000000000000
182,182,17,223088.610839843750000,632580.043334960937500,767.000000000000000
183,183,17,223101.030029296875000,632580.043334960937500,768.000000000000000
184,184,15,223113.449218750000000,632580.043334960937500,768.000000000000000
185,185,15,223125.868530273437500,632580.043334960937500,769.000000000000000
186,186,14,223138.287719726562500,632580.043334960937500,770.000000000000000
187,187,15,223150.706909179687500,632580.043334960937500,772.000000000000000
188,188,14,223163.126220703125000,632580.043334960937500,773.000000000000000
189,189,14,223175.545410156250000,632580.043334960937500,775.000000000000000
190,190,14,223187.964599609375000,632580.043334960937500,776.000000000000000
191,191,14,223200.383911132812500,632580.043334960937500,777.000000000000000
192,192,14,223212.803100585937500,632580.043334960937500,779.000000000000000
193,193,14,223225.222290039062500,632580.043334960937500,780.312999999994645
194,194,13,223237.641479492187500,632580.043334960937500,782.000000000000000
195,195,14,223250.060668945312500,632580.043334960937500,783.000000000000000
196,196,13,223262.479980468750000,632580.043334960937500,784.000000000000000
197,197,13,223274.899169921875000,632580.043334960937500,785.000000000000000
